objectid,filename,youtubeid,title,format,description,creator,date,subject,location,latitude,longitude,source,findingaid,original-identifier,identifier,rights,rightsstatement,rights holder,language,relation
tee-corrine-sketch,tee-corrine-sketch,,Sketch of a woman signed by Tee Corrine,image/jpg,A black and white sketch of a woman wearing glases and holding papers signed by Tee Corrine,Tee Corrine,unkown,Tee Corrine,,,,UO Special Collections,"Rootworks, series l, Rootwork Retreats, 1986-1993, 1/13",tee-corrine-sketch,tee-corrine-sketch,unknown,,UO Special Collections,English,
sketch-of-rootworks,sketch-of-rootworks,,Sketch of Rootworks signed by Ruth Mountaingrove,image/jpg,"A black and white sketch of a landscape titled ""View of Rootworks""",Ruth Mountaingrove,unknown,"Ruth Mountaingrove, Rootworks, art","Rootworks Farm ,Sunny Valley, Oregon",42.6390,-123.3756,UO Special Collections,"Rootworks, series l, Rootwork Retreats, 1986-1993, 1/13",sketch-of-rootworks,sketch-of-rootworks,unknown,,UO Special Collections,English,
directory-of-lands,directory-of-lands,,Directory of Lesbian Lands,image/jpg,"A typed directory labled ""A Very Incomplete Directory of Wimmin's Land and Land Trusts"", the oage is filled with names and locations of lands",,unkown,"Lands, Land Trusts, directory, Wimmin's Lands",,,,UO Special Collections,"Rootworks, series l, Rootwork Retreats, 1986-1993, 1/13",directory-of-lands,directory-of-lands,unknown,,UO Special Collections,English,
owl-trust-pg5,owl-trust-pg5,,Oregon Women's Land Trust page 5,application/pdf,"OWL Trust history overview, Gardenparties, 2004 newsletter","Tee Corrine, OWL",2004-08-02,"OWL Trust, Tee Corrine, Gardenparties, 2004","OWL Trust Farm, Roseberg, Oregon",43.2165,-123.3417,http://www.oregonwomenslandtrust.org/about,,owl-trust-pg5,owl-trust-pg5,unknown,,OWL Trust,English,
owl-trust-pg6,owl-trust-pg6,,Oregon Women's Land Trust page 6,application/pdf,"OWL Trust ""Invisible histories""","Tee Corrine, OWL",2004-08-02,"OWL Trust, Tee Corrine, Invisible Histories, 2004","OWL Trust Farm, Roseberg, Oregon",43.2165,-123.3417,http://www.oregonwomenslandtrust.org/about,,owl-trust-pg6,owl-trust-pg6,unknown,,OWL Trust,English,
owl-trust-pg7,owl-trust-pg7,,Oregon Women's Land Trust page 7,application/pdf,"OWL Trust ""A herstory of the OWL trust""","Tee Corrine, Sierra Portland, OWL",2004-08-02,"OWL Trust, Tee Corrine, Sierra Portland","OWL Trust Farm, Roseberg, Oregon",43.2165,-123.3417,http://www.oregonwomenslandtrust.org/about,,owl-trust-pg7,owl-trust-pg7,unknown,,OWL Trust,English,
lesbian-photography-44,lesbian-photography-page44,,Page 44 of Lesbian Photography booklet,application/pdf,"Three photos collage style, one of people gathering at a beach in 1974, a cover from Womanspirit from 1975, and two people doing traditional indigenous dance in traditional garb","Tee Corrine, Cathy Cade, Victoria Lena Manyarrows",unknown,"Tee Corrine, photography, indegenous culture, photos, Womanspirit, Cathy Cade, Victoria Lena Manyarrows",,,,UO Special Collections,Lesbian Photography,lesbian-photography-44,lesbian-photography-44,IN COPYRIGHT,,"Tee Corrine, Cathy Cade, Victoria Lena Manyarrows",English,
lesbian-photography-45,lesbian-photography-page45,,Page 45 of Lesbian Photography booklet,application/pdf,"Five photos collage style, one of a magazine cover tilted ""A Blantant Image a Magazine of Femenist Photography"" 1982, a magazine cover for ""Lesbians Speak Out"" 1974, two women embrassing while nude, a self portrait of Ruth Mountaingrove, and a photo of two women on a motorcycel from ""Dykes Repair Handbook""","Tee Corrine, Katie Niles, Gaye Chan, Ruth Mountaingrove, Honey Lee Cotrell",unknown,"Tee Corrine, Katie Niles, Gaye Chan, Ruth Mountaingrove, Honey Lee Cotrell, Lesbian Press, Femenist Press, Dyke culture, Photography, photos",,,,UO Special Collections,Lesbian Photography,lesbian-photography-45,lesbian-photography-45,IN COPYRIGHT,,"Tee Corrine, Katie Niles, Gaye Chan, Ruth Mountaingrove, Honey Lee Cotrell",English,
lesbian-photography-46,lesbian-photography-page46,,Page 46 of Lesbian Photography booklet,application/pdf,"The last few sections of information and sources of photo collections, and a resources directory online lesbian and femenist resources ",Tee Corrine,unknown,"Tee Corrine, resource guide, lesbian resources, femenist resources",,,,UO Special Collections,Lesbian Photography,lesbian-photography-46,lesbian-photography-46,IN COPYRIGHT,,Tee Corrine,English,
,,,Womanshare location,,Location of Womanshare for map,,,,Grants Pass,42.4390,-123.3284,"Tee Corrine, OWL",,,,,,,,
